V1	V2
GB40708	GO:0005576;GO:0005887;GO:0007166;GO:0007416;GO:0016021;GO:0030054;GO:0045202;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0045169;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0008340;GO:0016021;GO:0003674;GO:0005887;GO:0006810;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0045747;GO:0090002;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0030431;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0045747;GO:0090002;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0016021;GO:0003674;GO:0005887;GO:0007166;GO:0008150;GO:0016021;GO:0005887;GO:0007166;GO:0016021;GO:0016021
GB50796	GO:0003674;GO:0005575;GO:0008150;GO:0016021;GO:0003674;GO:0005575;GO:0008150;GO:0016021;GO:0016021
GB50795	GO:0000122;GO:0000977;GO:0000981;GO:0002121;GO:0003700;GO:0005634;GO:0007480;GO:0007485;GO:0008049;GO:0008343;GO:0008344;GO:0016348;GO:0042127;GO:0043565;GO:0045944;GO:0048728;GO:0048728
GB40701	GO:0000902;GO:0003383;GO:0005214;GO:0007015;GO:0007160;GO:0007476;GO:0009913;GO:0016021;GO:0016324;GO:0016476;GO:0035017;GO:0000902;GO:0007476;GO:0016021;GO:0003674;GO:0007424;GO:0007475;GO:0008362;GO:0040005;GO:0045177;GO:0003382;GO:0003674;GO:0016021;GO:0000902;GO:0005214;GO:0016021;GO:0016021;GO:0003383;GO:0005214;GO:0007015;GO:0007160;GO:0016021;GO:0016324;GO:0016476;GO:0016476
GB40700	GO:0002020;GO:0005578;GO:0005615;GO:0007155;GO:0007419;GO:0007426;GO:0007472;GO:0008191;GO:0008270;GO:0010033;GO:0030425;GO:0035202;GO:0042331;GO:0046872;GO:0048526;GO:0051045;GO:0060232;GO:0071711;GO:0071711
GB40703	GO:0005509;GO:0005887;GO:0005902;GO:0007156;GO:0016324;GO:0016339;GO:0042803;GO:0044331;GO:0046843;GO:0046843
GB40705	GO:0016403;GO:0016403
GB40704	GO:0003341;GO:0007605;GO:0008574;GO:0016887;GO:0036157;GO:0036158;GO:0045503;GO:0045504;GO:0045504
GB52320	GO:0005198;GO:0019028;GO:0019028
GB52321	GO:0003674;GO:0005575;GO:0008150;GO:0008150
